gem,repo_lista,repo_declarado,difere,erro
i18n,ruby-i18n/i18n,ruby-i18n/i18n,False,
activesupport,rails/rails/tree/master/activesupport,rails/rails,False,
rake,ruby/rake,ruby/rake,False,
concurrent-ruby,ruby-concurrency/concurrent-ruby,ruby-concurrency/concurrent-ruby,False,
tzinfo,tzinfo/tzinfo,tzinfo/tzinfo,False,
minitest,minitest/minitest,minitest/minitest,False,
addressable,sporkmonger/addressable,sporkmonger/addressable,False,
faraday,lostisland/faraday,lostisland/faraday,False,
rspec,rspec/rspec,rspec/rspec,False,
activerecord,rails/rails/tree/master/activerecord,rails/rails,False,
parallel,grosser/parallel,grosser/parallel,False,
jwt,jwt/ruby-jwt,jwt/ruby-jwt,False,
tilt,rtomayko/tilt,jeremyevans/tilt,True,
mail,mikel/mail,mikel/mail,False,
rubocop,rubocop/rubocop,rubocop/rubocop,False,
connection_pool,mperham/connection_pool,mperham/connection_pool,False,
excon,excon/excon,excon/excon,False,
zeitwerk,fxn/zeitwerk,fxn/zeitwerk,False,
coderay,rubychan/coderay,rubychan/coderay,False,
pry,pry/pry,pry/pry,False,
sprockets,rails/sprockets,rails/sprockets,False,
puma,puma/puma,puma/puma,False,
dotenv,bkeepers/dotenv,bkeepers/dotenv,False,
httpclient,nahi/httpclient,nahi/httpclient,False,
rack-protection,sinatra/sinatra/tree/master/rack-protection,sinatra/sinatra,False,
docile,ms-ati/docile,ms-ati/docile,False,
simplecov,simplecov-ruby/simplecov,simplecov-ruby/simplecov,False,
rest-client,rest-client/rest-client,rest-client/rest-client,False,
hashie,hashie/hashie,hashie/hashie,False,
httparty,jnunemaker/httparty,jnunemaker/httparty,False,
byebug,deivid-rodriguez/byebug,deivid-rodriguez/byebug,False,
pg,ged/ruby-pg,ged/ruby-pg,False,
webmock,bblimke/webmock,bblimke/webmock,False,
terminal-table,tj/terminal-table,tj/terminal-table,False,
sawyer,lostisland/sawyer,lostisland/sawyer,False,
listen,guard/listen,guard/listen,False,
knapsack,KnapsackPro/knapsack,KnapsackPro/knapsack,False,
bootsnap,rails/bootsnap,rails/bootsnap,False,
capybara,teamcapybara/capybara,teamcapybara/capybara,False,
selenium-webdriver,SeleniumHQ/selenium/tree/master/rb,SeleniumHQ/selenium,False,
factory_bot,thoughtbot/factory_bot,thoughtbot/factory_bot,False,
faker,faker-ruby/faker,faker-ruby/faker,False,
rdoc,ruby/rdoc,ruby/rdoc,False,
responders,heartcombo/responders,heartcombo/responders,False,
eventmachine,eventmachine/eventmachine,eventmachine/eventmachine,False,
rubocop-performance,rubocop/rubocop-performance,rubocop/rubocop-performance,False,
rouge,rouge-ruby/rouge,rouge-ruby/rouge,False,
jbuilder,rails/jbuilder,rails/jbuilder,False,
childprocess,enkessler/childprocess,enkessler/childprocess,False,
warden,wardencommunity/warden,hassox/warden,True,
rubocop-rails,rubocop/rubocop-rails,rubocop/rubocop-rails,False,
devise,heartcombo/devise,heartcombo/devise,False,
rubocop-rspec,rubocop/rubocop-rspec,rubocop/rubocop-rspec,False,
awesome_print,awesome-print/awesome_print,awesome-print/awesome_print,False,
typhoeus,typhoeus/typhoeus,typhoeus/typhoeus,False,
pry-byebug,deivid-rodriguez/pry-byebug,deivid-rodriguez/pry-byebug,False,
formatador,geemus/formatador,geemus/formatador,False,
oauth2,ruby-oauth/oauth2,ruby-oauth/oauth2,False,
rack-cors,cyu/rack-cors,cyu/rack-cors,False,
