gem,pasta,rb,e_suite
aasm,spec,187,True
aasm,lib,49,False
aasm,test,2,True
active_model_serializers,test,93,True
active_model_serializers,lib,61,False
activerecord,test,727,True
activerecord,lib,397,False
activerecord,examples,2,False
activerecord-import,test,90,True
activerecord-import,lib,31,False
activerecord-import,benchmarks,11,False
activesupport,lib,289,False
activesupport,test,217,True
addressable,lib,7,False
addressable,gemfiles,6,False
addressable,spec,6,True
addressable,benchmark,2,False
autoprefixer-rails,spec,13,True
autoprefixer-rails,lib,7,False
awesome_print,lib,36,False
awesome_print,spec,22,True
awesome_print,.,1,False
awesome_print,rails,1,False
better_errors,lib,18,False
better_errors,spec,15,True
bootsnap,test,27,True
bootsnap,lib,21,False
bootsnap,ext,1,False
brakeman,test,503,True
brakeman,lib,177,False
brakeman,.,2,False
bullet,spec,63,True
bullet,lib,44,False
bullet,perf,1,False
bullet,rails,1,False
bundler-audit,spec,19,True
bundler-audit,lib,18,False
byebug,lib,115,False
byebug,test,65,True
byebug,tasks,1,False
byebug,docker,1,False
byebug,ext,1,False
capybara,lib,216,False
capybara,spec,37,True
capybara,features,2,True
carrierwave,lib,44,False
carrierwave,spec,39,True
carrierwave,features,10,True
childprocess,lib,12,False
childprocess,spec,8,True
chronic,lib,36,False
chronic,test,22,True
cocoapods,lib,152,False
cocoapods,spec,123,True
cocoapods,examples,1,False
coderay,lib,72,False
coderay,test,46,True
coderay,spec,2,True
coderay,bench,1,False
coderay,rake_tasks,1,False
colorize,lib,6,False
colorize,test,4,True
commander,lib,18,False
commander,spec,12,True
concurrent-ruby,lib,178,False
concurrent-ruby,spec,101,True
concurrent-ruby,examples,37,False
concurrent-ruby,docs-source,25,False
concurrent-ruby,support,2,False
concurrent-ruby,ext,1,False
concurrent-ruby,yard-template,1,False
connection_pool,test,5,True
connection_pool,lib,5,False
countries,lib,26,False
countries,spec,10,True
dalli,test,58,True
dalli,lib,30,False
dalli,scripts,1,False
danger,lib,112,False
danger,spec,110,True
danger,danger_plugins,1,False
danger,docs,1,False
database_cleaner,lib,14,False
database_cleaner,spec,9,True
database_cleaner,examples,6,False
database_cleaner,features,2,True
debug,test,83,True
debug,lib,23,False
debug,ext,1,False
devise,test,117,True
devise,lib,70,False
devise,app,9,False
devise,guides,1,False
diffy,lib,7,False
diffy,spec,2,True
docile,lib,6,False
docile,spec,2,True
