gem,repo,categoria,downloads,versao,repo_usado,origem_repo,etiqueta,ref_usada,erro_clone,ramo,commit,raiz_codigo,tem_lib,pastas_de_codigo,rb_alvo,rb_suite,rb_fora_do_codigo,lidos,com_erro,com_erro_real,taxa,metodos,classes
i18n,ruby-i18n/i18n,internationalization,1414735742,1.15.2,ruby-i18n/i18n,lista,v1.15.2,etiqueta,,HEAD,8beba7876163,.,True,lib,34,55,1,34,0,0,100.0,270,116
activesupport,rails/rails/tree/master/activesupport,core extensions,1411697643,8.1.3.1,rails/rails,lista,v8.1.3.1,etiqueta,,HEAD,3989ebf3473d,activesupport,True,lib,289,217,0,289,0,0,100.0,2106,688
rake,ruby/rake,cli builder,1394335059,13.4.2,ruby/rake,lista,v13.4.2,etiqueta,,HEAD,503b8ec593c5,.,True,lib,44,50,1,44,0,0,100.0,322,83
concurrent-ruby,ruby-concurrency/concurrent-ruby,concurrency and parallelism,1349821682,1.3.8,ruby-concurrency/concurrent-ruby,lista,v1.3.8,etiqueta,,HEAD,0b88d5ff75f6,.,True,lib,178,101,66,178,0,0,100.0,1571,589
tzinfo,tzinfo/tzinfo,date and time processing,1301765700,2.0.6,tzinfo/tzinfo,lista,v2.0.6,etiqueta,,HEAD,d5893c99bbcd,.,True,lib,49,92,0,49,0,0,100.0,356,144
minitest,minitest/minitest,testing,1280590561,6.0.6,minitest/minitest,lista,v6.0.6,etiqueta,,HEAD,f6180b07ea6e,.,True,lib,24,11,1,24,0,0,100.0,309,70
addressable,sporkmonger/addressable,core extensions,1247619954,2.9.0,sporkmonger/addressable,lista,addressable-2.9.0,etiqueta,,HEAD,0c3e8589b23d,.,True,lib,7,6,8,7,0,0,100.0,135,21
faraday,lostisland/faraday,http clients and tools,1240624040,2.14.3,lostisland/faraday,lista,v2.14.3,etiqueta,,HEAD,f1ace878bae1,.,True,lib,33,36,2,33,0,0,100.0,300,90
rspec,rspec/rspec,testing,1010694666,3.13.2,rspec/rspec,lista,rspec-core-v3.13.2,etiqueta,,HEAD,79a280d76e10,.,False,rspec/lib rspec-core/lib rspec-expectations/lib rspec-mocks/lib rspec-support/lib,188,306,67,188,0,0,100.0,2784,849
activerecord,rails/rails/tree/master/activerecord,orm/odm,826882185,8.1.3.1,rails/rails,lista,v8.1.3.1,etiqueta,,HEAD,3989ebf3473d,activerecord,True,lib,397,727,2,397,0,0,100.0,5320,1538
parallel,grosser/parallel,concurrency and parallelism,811017572,2.1.0,grosser/parallel,lista,v2.1.0,etiqueta,,HEAD,cd5ba09894cd,.,True,lib,3,68,0,3,0,0,100.0,59,13
