gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas
aasm,lib/aasm/aasm.rb,88061ec5104a,state machines,16.3,50,9,82,0.0,0,27.3,11,2,11,1.0
aasm,lib/aasm/base.rb,88061ec5104a,state machines,9.3,56,0,93,0.0,0,29.6,27,2,21,0.778
aasm,lib/aasm/core/event.rb,88061ec5104a,state machines,7.5,34,0,74,0.5,0,0.0,19,2,19,1.0
aasm,lib/aasm/core/invoker.rb,88061ec5104a,state machines,5.3,8,0,20,0.0,0,0.0,10,3,6,0.6
aasm,lib/aasm/core/invokers/base_invoker.rb,88061ec5104a,state machines,4.6,7,0,14,0.0,0,0.0,7,4,5,0.714
aasm,lib/aasm/core/invokers/class_invoker.rb,88061ec5104a,state machines,4.5,12,0,82,0.0,1,0.0,11,4,11,1.0
aasm,lib/aasm/core/invokers/literal_invoker.rb,88061ec5104a,state machines,4.8,9,0,92,0.0,1,53.8,13,4,13,1.0
aasm,lib/aasm/core/invokers/proc_invoker.rb,88061ec5104a,state machines,6.8,17,0,90,0.0,1,70.0,10,4,10,1.0
aasm,lib/aasm/core/state.rb,88061ec5104a,state machines,6.2,11,0,73,0.0,0,0.0,11,2,11,1.0
aasm,lib/aasm/core/transition.rb,88061ec5104a,state machines,6.7,22,0,67,0.5,0,0.0,9,2,9,1.0
aasm,lib/aasm/dsl_helper.rb,88061ec5104a,state machines,6.7,9,0,67,0.0,0,66.7,3,3,3,1.0
aasm,lib/aasm/instance_base.rb,88061ec5104a,state machines,8.1,26,0,88,0.0,0,25.0,16,2,16,1.0
aasm,lib/aasm/localizer.rb,88061ec5104a,state machines,6.1,10,0,100,0.0,0,0.0,8,2,8,1.0
aasm,lib/aasm/minitest/transition_from.rb,88061ec5104a,state machines,5.7,6,0,100,0.0,0,33.3,3,1,3,1.0
aasm,lib/aasm/persistence.rb,88061ec5104a,state machines,8,28,100,60,0.0,0,40.0,5,2,5,1.0
aasm,lib/aasm/persistence/active_record_persistence.rb,88061ec5104a,state machines,6.2,17,6,24,0.0,0,47.1,17,5,17,1.0
aasm,lib/aasm/persistence/base.rb,88061ec5104a,state machines,4.8,8,12,75,0.0,0,12.5,8,5,8,1.0
aasm,lib/aasm/persistence/core_data_query_persistence.rb,88061ec5104a,state machines,4.6,7,20,60,0.0,0,100.0,5,5,5,1.0
aasm,lib/aasm/persistence/dynamoid_persistence.rb,88061ec5104a,state machines,10.2,22,25,75,0.0,0,125.0,4,4,4,1.0
aasm,lib/aasm/persistence/mongoid_persistence.rb,88061ec5104a,state machines,6.1,14,11,33,0.0,0,66.7,9,5,9,1.0
aasm,lib/aasm/persistence/no_brainer_persistence.rb,88061ec5104a,state machines,4.6,8,11,22,0.0,0,44.4,9,5,9,1.0
aasm,lib/aasm/persistence/orm.rb,88061ec5104a,state machines,5.2,29,0,11,0.0,0,0.0,19,3,15,0.789
aasm,lib/aasm/persistence/plain_persistence.rb,88061ec5104a,state machines,4.3,7,0,0,0.0,0,100.0,3,3,3,1.0
aasm,lib/aasm/persistence/redis_persistence.rb,88061ec5104a,state machines,5,9,17,33,0.0,0,100.0,6,4,6,1.0
aasm,lib/aasm/persistence/sequel_persistence.rb,88061ec5104a,state machines,4.2,9,9,36,0.0,0,54.5,11,4,11,1.0
aasm,lib/aasm/state_machine.rb,88061ec5104a,state machines,6,8,0,83,0.0,0,0.0,6,2,6,1.0
aasm,lib/aasm/state_machine_store.rb,88061ec5104a,state machines,5.9,12,44,78,0.0,0,0.0,9,2,9,1.0
aasm,lib/generators/aasm/orm_helpers.rb,88061ec5104a,state machines,7,17,0,50,0.0,0,0.0,4,3,4,1.0
aasm,lib/generators/active_record/aasm_generator.rb,88061ec5104a,state machines,7.3,10,0,33,0.33,1,0.0,3,3,3,1.0
aasm,lib/generators/mongoid/aasm_generator.rb,88061ec5104a,state machines,3,3,0,0,0.33,1,0.0,4,3,4,1.0
aasm,lib/generators/nobrainer/aasm_generator.rb,88061ec5104a,state machines,3,3,0,0,0.33,1,0.0,4,3,4,1.0
active_model_serializers,lib/action_controller/serialization.rb,6934c8bd31f4,api builder and discovery,6.3,17,0,33,0.67,0,16.7,6,3,6,1.0
active_model_serializers,lib/active_model/serializer.rb,6934c8bd31f4,api builder and discovery,6.1,18,67,67,1.5,0,6.7,30,2,27,0.9
active_model_serializers,lib/active_model/serializer/association.rb,6934c8bd31f4,api builder and discovery,4.6,15,0,88,0.0,0,0.0,8,2,8,1.0
active_model_serializers,lib/active_model/serializer/collection_serializer.rb,6934c8bd31f4,api builder and discovery,7.6,18,0,75,0.25,1,0.0,8,4,8,1.0
active_model_serializers,lib/active_model/serializer/concerns/caching.rb,6934c8bd31f4,api builder and discovery,8.4,23,0,81,0.25,0,0.0,21,4,21,1.0
active_model_serializers,lib/active_model/serializer/field.rb,6934c8bd31f4,api builder and discovery,8.7,16,0,71,0.0,0,71.4,7,2,7,1.0
active_model_serializers,lib/active_model/serializer/fieldset.rb,6934c8bd31f4,api builder and discovery,4,7,0,50,0.0,0,0.0,4,3,4,1.0
active_model_serializers,lib/active_model/serializer/lazy_association.rb,6934c8bd31f4,api builder and discovery,6.5,17,0,82,0.0,0,0.0,11,2,11,1.0
active_model_serializers,lib/active_model/serializer/lint.rb,6934c8bd31f4,api builder and discovery,4.5,8,0,85,0.0,0,0.0,13,4,12,0.923
active_model_serializers,lib/active_model/serializer/reflection.rb,6934c8bd31f4,api builder and discovery,7.6,17,0,67,0.0,1,11.1,9,3,8,0.889
active_model_serializers,lib/active_model_serializers.rb,6934c8bd31f4,api builder and discovery,4.8,7,100,40,1.0,0,0.0,5,1,5,1.0
active_model_serializers,lib/active_model_serializers/adapter.rb,6934c8bd31f4,api builder and discovery,5.2,16,100,60,0.5,0,0.0,10,2,10,1.0
active_model_serializers,lib/active_model_serializers/adapter/attributes.rb,6934c8bd31f4,api builder and discovery,8,13,0,100,0.0,1,0.0,3,3,3,1.0
active_model_serializers,lib/active_model_serializers/adapter/base.rb,6934c8bd31f4,api builder and discovery,3.2,4,46,23,0.0,0,7.7,13,3,13,1.0
