gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,excluido_por
twilio-ruby,lib/twilio-ruby/twiml/voice_response.rb,c58e213a6f04,third-party apis,4.9,6,0,7,0.0,1,0.0,194,62,28,0.144,proporcao 0.144 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/content/v1/content.rb,c58e213a6f04,third-party apis,7.3,22,0,58,0.0,2,0.0,165,66,46,0.279,proporcao 0.279 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/conversations/v2/conversation.rb,c58e213a6f04,third-party apis,6.6,34,0,65,0.0,2,0.0,127,42,40,0.315,proporcao 0.315 abaixo de 0.4
fastlane,spaceship/lib/spaceship/connect_api/tunes/tunes.rb,38d0ec404332,mobile development,11.3,93,0,98,0.0,0,0.0,112,5,26,0.232,proporcao 0.232 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/conversations/v2/configuration.rb,c58e213a6f04,third-party apis,7.0,28,0,64,0.0,2,0.0,106,36,36,0.34,proporcao 0.34 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/intelligence/v3/configuration.rb,c58e213a6f04,third-party apis,6.6,26,0,64,0.0,2,0.0,100,34,38,0.38,proporcao 0.38 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/messaging/v1/tollfree_verification.rb,c58e213a6f04,third-party apis,9.9,98,0,83,0.0,2,0.0,96,12,31,0.323,proporcao 0.323 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/insights/v2/report.rb,c58e213a6f04,third-party apis,6.2,30,0,61,0.0,2,0.0,92,33,30,0.326,proporcao 0.326 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/bidi/protocol/script.rb,9175ed94d83e,testing,1.8,23,65,0,0.0,1,0.0,85,12,8,0.094,proporcao 0.094 abaixo de 0.4
savon,lib/savon/options.rb,69ab4149642b,http clients and tools,4.1,26,0,94,0.5,1,2.4,82,6,21,0.256,proporcao 0.256 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/flex_api/v1/configuration.rb,c58e213a6f04,third-party apis,5.3,61,0,79,0.0,2,0.0,81,12,19,0.235,proporcao 0.235 abaixo de 0.4
geocoder,lib/geocoder/results/ipregistry.rb,d3515db46c57,geolocation,3.1,11,0,99,0.0,1,0.0,71,2,4,0.056,proporcao 0.056 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/insights/v1/room.rb,c58e213a6f04,third-party apis,6.2,38,0,75,0.0,2,0.0,63,12,25,0.397,proporcao 0.397 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/insights/v1/conference/conference_participant.rb,c58e213a6f04,third-party apis,6.2,39,0,77,0.0,2,0.0,62,13,23,0.371,proporcao 0.371 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/incoming_phone_number/local.rb,c58e213a6f04,third-party apis,7.6,71,0,82,0.0,2,0.0,57,11,17,0.298,proporcao 0.298 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/incoming_phone_number/mobile.rb,c58e213a6f04,third-party apis,7.6,71,0,82,0.0,2,0.0,57,11,17,0.298,proporcao 0.298 abaixo de 0.4
