gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,erro
aasm,lib/aasm/minitest/transition_from.rb,88061ec5104a,state machines,5.7,6,0,100,0.0,0,33.3,3,1,3,1.0,NameError: uninitialized constant Minitest
aasm,lib/generators/active_record/aasm_generator.rb,88061ec5104a,state machines,7.3,10,0,33,0.33,1,0.0,3,3,3,1.0,LoadError: cannot load such file -- rails/generators/active_record
aasm,lib/generators/mongoid/aasm_generator.rb,88061ec5104a,state machines,3,3,0,0,0.33,1,0.0,4,3,4,1.0,LoadError: cannot load such file -- rails/generators/named_base
active_model_serializers,lib/action_controller/serialization.rb,6934c8bd31f4,api builder and discovery,6.3,17,0,33,0.67,0,16.7,6,3,6,1.0,NameError: uninitialized constant ActionController::Renderers
active_model_serializers,lib/active_model_serializers/register_jsonapi_renderer.rb,6934c8bd31f4,api builder and discovery,10.3,17,67,100,0.0,0,0.0,3,3,3,1.0,NameError: uninitialized constant ActiveModelSerializers::Jsonapi::Mime
active_model_serializers,lib/generators/rails/serializer_generator.rb,6934c8bd31f4,api builder and discovery,4.5,9,0,75,0.0,1,0.0,4,3,4,1.0,NameError: uninitialized constant Rails::Generators::NamedBase
activerecord,examples/performance.rb,3989ebf3473d,orm/odm,1.9,3,67,44,0.0,1,0.0,9,4,7,0.778,LoadError: cannot load such file -- benchmark/ips
activerecord,lib/active_record/connection_adapters/mysql2_adapter.rb,3989ebf3473d,orm/odm,5.9,14,9,68,0.33,2,0.0,22,3,17,0.773,"Gem::MissingSpecError: Could not find 'mysql2' (~> 0.5) among 97 total gem(s)
Checked in 'GEM_PATH=/private/var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_p6_3ync3utc/gems_activerecord:/Users/mario/.rbenv/versions/3.4.10/lib/ruby/gems/3.4.0' , execute `gem env` for more information"
activerecord,lib/active_record/connection_adapters/postgresql/database_statements.rb,3989ebf3473d,orm/odm,7.2,36,0,62,0.0,0,0.0,24,4,22,0.917,NameError: uninitialized constant ActiveRecord::ConnectionAdapters::PostgreSQL::DatabaseStatements::PG
activerecord,lib/active_record/connection_adapters/postgresql_adapter.rb,3989ebf3473d,orm/odm,8.4,63,4,56,0.8,1,1.0,100,5,61,0.61,"Gem::MissingSpecError: Could not find 'pg' (~> 1.1) among 97 total gem(s)
Checked in 'GEM_PATH=/private/var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_p6_3ync3utc/gems_activerecord:/Users/mario/.rbenv/versions/3.4.10/lib/ruby/gems/3.4.0' , execute `gem env` for more information"
