gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,modo,erro_rspec
minitest,lib/minitest/sprint.rb,f6180b07ea6e,testing,8.1,21,14,71,0.0,2,0.0,7,4,7,1.0,isolado,". Finished in 0.00053 seconds (files took 0.05902 seconds to load) 1 example, 0 failures invalid option: -O Usage: minitest [paths] [options] or: ruby path/to/test.rb [options] or: rake test [A=options] (see Minitest::TestTask for more options) -h, --help Display this help. -V, --version Display the"
mysql2,lib/mysql2/client.rb,c79b3c14fd47,database drivers,14.5,73,18,64,0.0,0,63.6,11,2,11,1.0,isolado,"An error occurred while loading mysql2. Failure/Error: require 'mysql2/mysql2' LoadError: cannot load such file -- mysql2/mysql2 # ./lib/mysql2.rb:36:in '<top (required)>' No examples found. Finished in 0.00002 seconds (files took 0.3432 seconds to load) 0 examples, 0 failures, 1 error occurred outs"
mysql2,lib/mysql2/error.rb,c79b3c14fd47,database drivers,6,7,33,100,0.0,1,0.0,3,2,3,1.0,isolado,"An error occurred while loading mysql2. Failure/Error: require 'mysql2/mysql2' LoadError: cannot load such file -- mysql2/mysql2 # ./lib/mysql2.rb:36:in '<top (required)>' No examples found. Finished in 0.00002 seconds (files took 0.34321 seconds to load) 0 examples, 0 failures, 1 error occurred out"
rspec,rspec-expectations/lib/rspec/expectations/failure_aggregator.rb,79a280d76e10,testing,5.1,26,0,70,0.0,2,0.0,30,5,28,0.933,isolado,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__expectations__failure_aggregator.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class
rspec,rspec-support/lib/rspec/support/object_formatter.rb,79a280d76e10,testing,4.7,14,31,66,0.0,1,2.9,35,10,31,0.886,isolado,"An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-support__lib__rspec__support__object_formatter.rb_spec.rb. Failure/Error: class TimeInspector < BaseInspector FORMAT = ""%Y-%m-%d %H:%M:%S"" def self.can_inspect?(object) Time === object end "
rspec,rspec-expectations/lib/rspec/expectations/configuration.rb,79a280d76e10,testing,4.7,13,11,22,0.0,0,0.0,18,3,16,0.889,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__expectations__configuration.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Mult
rspec,rspec-expectations/lib/rspec/expectations/handler.rb,79a280d76e10,testing,5.5,12,76,57,0.0,2,4.8,21,8,16,0.762,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__expectations__handler.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class MultipleEx
rspec,rspec-expectations/lib/rspec/matchers/aliased_matcher.rb,79a280d76e10,testing,4.3,9,0,60,0.0,3,20.0,10,5,7,0.7,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__aliased_matcher.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Multip
rspec,rspec-expectations/lib/rspec/matchers/built_in/all.rb,79a280d76e10,testing,5,11,0,64,0.0,1,0.0,11,4,11,1.0,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__all.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Multiple
rspec,rspec-expectations/lib/rspec/matchers/built_in/base_matcher.rb,79a280d76e10,testing,4,9,14,38,0.57,0,0.0,21,7,15,0.714,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__base_matcher.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class
