gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,modo,componente,tamanho_componente,origem,posicao_ranking,relacionado,vizinhos_no_corpus,ligacoes_possiveis_no_corpus
aasm,lib/aasm/core/invokers/base_invoker.rb,88061ec5104a,state machines,4.6,7,0,14,0.0,0,0.0,7,4,5,0.714,isolado,aasm#3,4,grupo,,True,3,3
aasm,lib/aasm/core/invokers/class_invoker.rb,88061ec5104a,state machines,4.5,12,0,82,0.0,1,0.0,11,4,11,1.0,isolado,aasm#3,4,grupo,,True,1,1
aasm,lib/aasm/core/invokers/literal_invoker.rb,88061ec5104a,state machines,4.8,9,0,92,0.0,1,53.8,13,4,13,1.0,isolado,aasm#3,4,grupo,,True,1,1
aasm,lib/aasm/core/invokers/proc_invoker.rb,88061ec5104a,state machines,6.8,17,0,90,0.0,1,70.0,10,4,10,1.0,isolado,aasm#3,4,grupo,,True,1,1
aasm,lib/aasm/persistence/plain_persistence.rb,88061ec5104a,state machines,4.3,7,0,0,0.0,0,100.0,3,3,3,1.0,isolado,aasm#7,1,diversidade,70,False,0,0
active_model_serializers,lib/active_model_serializers/model.rb,6934c8bd31f4,api builder and discovery,5.4,7,38,100,1.0,0,12.5,8,3,8,1.0,isolado,active_model_serializers#0,13,diversidade,51,False,0,0
activerecord,lib/active_record/associations/builder/belongs_to.rb,3989ebf3473d,orm/odm,13.9,34,100,82,0.0,1,45.5,11,2,10,0.909,isolado,activerecord#5,3,grupo,,True,1,1
activerecord,lib/active_record/associations/builder/has_one.rb,3989ebf3473d,orm/odm,5.6,11,100,75,0.0,1,12.5,8,2,7,0.875,isolado,activerecord#5,3,grupo,,True,1,1
activerecord,lib/active_record/associations/builder/singular_association.rb,3989ebf3473d,orm/odm,15.5,21,100,75,0.0,1,50.0,4,2,4,1.0,isolado,activerecord#8,1,diversidade,64,False,0,0
activerecord,lib/active_record/errors.rb,3989ebf3473d,orm/odm,7.5,35,14,23,0.03,5,0.0,22,60,17,0.773,isolado,activerecord#113,1,diversidade,21,False,0,0
activerecord,lib/active_record/migration/default_strategy.rb,3989ebf3473d,orm/odm,3,3,0,100,0.0,1,33.3,3,3,3,1.0,isolado,activerecord#129,1,diversidade,17,False,0,0
activerecord,lib/active_record/relation.rb,3989ebf3473d,orm/odm,7.3,44,2,76,2.5,0,2.0,100,4,99,0.99,isolado,activerecord#1,43,diversidade,6,False,0,0
activerecord,lib/active_record/touch_later.rb,3989ebf3473d,orm/odm,8,26,0,43,0.0,0,0.0,7,2,7,1.0,isolado,activerecord#5,3,grupo,,True,2,2
activerecord-import,lib/activerecord-import/adapters/mysql_adapter.rb,8ac907c9bbc5,orm/odm extensions,13.1,52,0,100,2.0,0,0.0,9,1,9,1.0,com a biblioteca carregada,activerecord-import#5,3,grupo,,True,1,2
activerecord-import,lib/activerecord-import/adapters/sqlite3_adapter.rb,8ac907c9bbc5,orm/odm extensions,9.6,35,0,87,2.0,0,0.0,15,1,14,0.933,com a biblioteca carregada,activerecord-import#5,3,grupo,,True,1,2
activerecord-import,lib/activerecord-import/import.rb,8ac907c9bbc5,orm/odm extensions,30,202,64,82,0.09,1,114.3,28,11,27,0.964,com a biblioteca carregada,activerecord-import#7,2,diversidade,72,False,0,2
activerecord-import,lib/activerecord-import/value_sets_parser.rb,8ac907c9bbc5,orm/odm extensions,6.9,28,25,62,0.0,1,0.0,8,4,7,0.875,com a biblioteca carregada,activerecord-import#5,3,grupo,,True,2,2
activesupport,lib/active_support/configurable.rb,3989ebf3473d,core extensions,6.9,18,14,57,0.25,3,100.0,7,4,7,1.0,isolado,activesupport#10,1,diversidade,32,False,0,0
activesupport,lib/active_support/delegation.rb,3989ebf3473d,core extensions,54,128,100,67,0.0,1,66.7,3,3,3,1.0,isolado,activesupport#0,43,diversidade,2,False,0,0
activesupport,lib/active_support/multibyte/unicode.rb,3989ebf3473d,core extensions,4.5,7,0,100,0.33,0,0.0,4,3,4,1.0,isolado,activesupport#65,1,diversidade,45,False,0,0
activesupport,lib/active_support/test_case.rb,3989ebf3473d,core extensions,4,14,82,9,6.0,1,0.0,11,2,10,0.909,isolado,activesupport#80,3,diversidade,4,False,0,0
addressable,lib/addressable/idna/pure.rb,0c3e8589b23d,core extensions,27.7,120,100,100,0.2,1,0.0,12,5,12,1.0,isolado,addressable#0,3,grupo,,True,1,2
addressable,lib/addressable/template.rb,0c3e8589b23d,core extensions,14.8,96,0,70,0.0,1,0.0,30,6,30,1.0,isolado,addressable#0,3,grupo,,True,1,2
addressable,lib/addressable/uri.rb,0c3e8589b23d,core extensions,18.5,93,16,69,0.0,1,3.4,88,6,87,0.989,isolado,addressable#0,3,grupo,59,True,2,2
bootsnap,lib/bootsnap/cli.rb,e099ec707644,optimizations,14.1,62,0,33,0.0,0,6.7,15,3,13,0.867,isolado,bootsnap#0,10,diversidade,86,True,1,1
bootsnap,lib/bootsnap/compile_cache.rb,e099ec707644,optimizations,12,28,100,0,0.0,0,0.0,3,2,3,1.0,isolado,bootsnap#0,10,diversidade,34,True,1,1
brakeman,lib/brakeman/options.rb,fffc4837becb,code analysis and metrics,105,397,100,50,0.0,0,0.0,4,1,3,0.75,isolado,brakeman#0,13,diversidade,54,False,0,0
brakeman,lib/brakeman/processors/lib/call_conversion_helper.rb,fffc4837becb,code analysis and metrics,13.7,24,0,100,0.0,0,16.7,6,2,6,1.0,isolado,brakeman#0,13,diversidade,75,False,0,0
bullet,lib/bullet.rb,bc55c037d27a,profiler and optimization,6.1,20,100,52,0.5,1,0.0,31,2,26,0.839,isolado,bullet#0,8,diversidade,29,False,0,0
byebug,lib/byebug/commands/restart.rb,aff644023372,debugging tools,5.8,11,50,50,1.0,1,0.0,6,2,5,0.833,isolado,byebug#1,67,diversidade,52,False,0,0
